buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 92, reward:-15.06479710661461,unbalance:907.7670492931032,buffer_length: 20000
curren epsiode is 93, reward:-9.251350032768656,unbalance:396.4547752632172,buffer_length: 20000
curren epsiode is 94, reward:-4.954336817009925,unbalance:130.61654198177382,buffer_length: 20000
curren epsiode is 95, reward:-18.472880462597402,unbalance:1099.9730763935206,buffer_length: 20000
curren epsiode is 96, reward:-12.432289510698231,unbalance:651.3355803835884,buffer_length: 20000
curren epsiode is 97, reward:-13.665617192965504,unbalance:764.5907416546796,buffer_length: 20000
curren epsiode is 98, reward:-19.627636003494786,unbalance:1113.7881947508886,buffer_length: 20000
curren epsiode is 99, reward:-19.585946249257656,unbalance:1082.3617042260757,buffer_length: 20000
curren epsiode is 100, reward:-9.431592218805882,unbalance:542.7812715296444,buffer_length: 20000
curren epsiode is 101, reward:-5.984417888936467,unbalance:221.88811629355533,buffer_length: 21000
curren epsiode is 102, reward:-4.7015727480850025,unbalance:79.1338332211067,buffer_length: 21000
curren epsiode is 103, reward:-3.1080462443482113,unbalance:63.690625418947604,buffer_length: 21000
curren epsiode is 104, reward:-6.3017650822462405,unbalance:303.0794228327499,buffer_length: 21000
curren epsiode is 105, reward:-6.820079914252211,unbalance:270.9563941028709,buffer_length: 21000
curren epsiode is 106, reward:-6.825881746385405,unbalance:142.43057703834256,buffer_length: 21000
curren epsiode is 107, reward:-7.00712621704694,unbalance:269.28607013669927,buffer_length: 21000
curren epsiode is 108, reward:-6.92732937995728,unbalance:281.2412780029807,buffer_length: 21000
curren epsiode is 109, reward:-11.09238839422905,unbalance:487.588530233237,buffer_length: 21000
curren epsiode is 110, reward:-4.924446941422693,unbalance:142.83428593949333,buffer_length: 21000
curren epsiode is 111, reward:-15.573756489205001,unbalance:1052.4939232142253,buffer_length: 22000
curren epsiode is 112, reward:-5.612700839668855,unbalance:157.25416418488936,buffer_length: 22000
curren epsiode is 113, reward:-8.018903203052071,unbalance:371.49117763423135,buffer_length: 22000
curren epsiode is 114, reward:-5.407260566502389,unbalance:181.6948859603657,buffer_length: 22000
curren epsiode is 115, reward:-4.478597900230467,unbalance:126.71537892336393,buffer_length: 22000
curren epsiode is 116, reward:-4.0454666264248065,unbalance:108.40735034460566,buffer_length: 22000
curren epsiode is 117, reward:-2.716896290031646,unbalance:29.718332146184785,buffer_length: 22000
curren epsiode is 118, reward:-6.574279468262995,unbalance:226.63970769216684,buffer_length: 22000
curren epsiode is 119, reward:-2.2755638100773132,unbalance:10.242892207843976,buffer_length: 22000
curren epsiode is 120, reward:-3.055753953671671,unbalance:14.27849751097635,buffer_length: 22000
curren epsiode is 121, reward:-5.853747227653217,unbalance:198.43800315312268,buffer_length: 23000
curren epsiode is 122, reward:-6.1197266577861855,unbalance:246.97853949607224,buffer_length: 23000
curren epsiode is 123, reward:-19.826325621185262,unbalance:1196.4442936335095,buffer_length: 23000
curren epsiode is 124, reward:-19.56751550837393,unbalance:1254.2357888661868,buffer_length: 23000
curren epsiode is 125, reward:-2.4207022911789897,unbalance:3.792374420431873,buffer_length: 23000
curren epsiode is 126, reward:-15.669794890266926,unbalance:963.6277281613769,buffer_length: 23000
curren epsiode is 127, reward:-4.027296070105367,unbalance:50.62934099739341,buffer_length: 23000
curren epsiode is 128, reward:-8.172096172937696,unbalance:314.1770499881463,buffer_length: 23000
curren epsiode is 129, reward:-12.585516148922263,unbalance:687.3071488048683,buffer_length: 23000
curren epsiode is 130, reward:-2.1233258403792443,unbalance:15.388221388199725,buffer_length: 23000
curren epsiode is 131, reward:-4.204128467507959,unbalance:132.91882929622338,buffer_length: 24000
curren epsiode is 132, reward:-21.45378142520279,unbalance:1441.6847217820607,buffer_length: 24000
curren epsiode is 133, reward:-2.4473341271441673,unbalance:0.0,buffer_length: 24000
curren epsiode is 134, reward:-6.27585607774603,unbalance:206.30832736183427,buffer_length: 24000
curren epsiode is 135, reward:-2.848431216688757,unbalance:35.32874687829265,buffer_length: 24000
curren epsiode is 136, reward:-8.043188948000404,unbalance:266.1941723538893,buffer_length: 24000
curren epsiode is 137, reward:-12.20239973459062,unbalance:534.989148572371,buffer_length: 24000
curren epsiode is 138, reward:-11.22081705866972,unbalance:484.0120401981719,buffer_length: 24000
curren epsiode is 139, reward:-5.178282795439086,unbalance:122.126413779519,buffer_length: 24000
curren epsiode is 140, reward:-6.437619321962342,unbalance:188.0444601062229,buffer_length: 24000
curren epsiode is 141, reward:-6.456035669225003,unbalance:223.74064431268576,buffer_length: 25000
curren epsiode is 142, reward:-5.985589545449184,unbalance:119.26123173303925,buffer_length: 25000
curren epsiode is 143, reward:-13.35585179614047,unbalance:765.7959247661937,buffer_length: 25000
curren epsiode is 144, reward:-18.356343934656593,unbalance:1090.9136562426304,buffer_length: 25000
curren epsiode is 145, reward:-4.8150568330782875,unbalance:88.25999999371062,buffer_length: 25000
curren epsiode is 146, reward:-17.149818197473014,unbalance:959.7994860668857,buffer_length: 25000
curren epsiode is 147, reward:-10.424691223265482,unbalance:384.8810035114182,buffer_length: 25000
curren epsiode is 148, reward:-4.114366301045713,unbalance:24.92951936295278,buffer_length: 25000
curren epsiode is 149, reward:-4.068894668690238,unbalance:56.6376629671837,buffer_length: 25000
curren epsiode is 150, reward:-2.6276561935719336,unbalance:0.0,buffer_length: 25000
curren epsiode is 151, reward:-4.184475818473153,unbalance:36.76764173218317,buffer_length: 26000
curren epsiode is 152, reward:-10.20723083660655,unbalance:366.9470897819693,buffer_length: 26000
curren epsiode is 153, reward:-5.7996211324961315,unbalance:118.04591902825747,buffer_length: 26000
curren epsiode is 154, reward:-14.82670143015292,unbalance:857.1274741972693,buffer_length: 26000
curren epsiode is 155, reward:-5.2871530512747125,unbalance:97.16651329520144,buffer_length: 26000
curren epsiode is 156, reward:-4.91237600834783,unbalance:91.18594199756336,buffer_length: 26000
curren epsiode is 157, reward:-6.682257418116535,unbalance:223.41572551534554,buffer_length: 26000
curren epsiode is 158, reward:-8.069048908815065,unbalance:229.88434785432358,buffer_length: 26000
curren epsiode is 159, reward:-5.52056316475707,unbalance:63.3387057424155,buffer_length: 26000
curren epsiode is 160, reward:-15.834434068580483,unbalance:819.7215829646027,buffer_length: 26000
curren epsiode is 161, reward:-20.11241005815448,unbalance:1219.1778525677205,buffer_length: 27000
curren epsiode is 162, reward:-5.932084705265935,unbalance:76.9797196211069,buffer_length: 27000
curren epsiode is 163, reward:-3.836731315691514,unbalance:11.182111421620064,buffer_length: 27000
curren epsiode is 164, reward:-6.2192962551704305,unbalance:64.42605211622879,buffer_length: 27000
curren epsiode is 165, reward:-7.6471525730254255,unbalance:298.30618957476264,buffer_length: 27000
curren epsiode is 166, reward:-4.77826031409971,unbalance:34.98935741557145,buffer_length: 27000
curren epsiode is 167, reward:-15.12525532357699,unbalance:835.661129426554,buffer_length: 27000
curren epsiode is 168, reward:-17.311626889390933,unbalance:1060.509166975135,buffer_length: 27000
curren epsiode is 169, reward:-19.59187363444745,unbalance:1119.4515045740911,buffer_length: 27000
curren epsiode is 170, reward:-3.009898506450054,unbalance:9.20184651147656,buffer_length: 27000
curren epsiode is 171, reward:-4.178199397517162,unbalance:41.66836872997607,buffer_length: 28000
curren epsiode is 172, reward:-4.209266004758494,unbalance:82.09200672489305,buffer_length: 28000
curren epsiode is 173, reward:-5.668507004129857,unbalance:67.79469682266011,buffer_length: 28000
curren epsiode is 174, reward:-3.381127507242396,unbalance:3.373343753711012,buffer_length: 28000
curren epsiode is 175, reward:-13.697400952077242,unbalance:579.610837290805,buffer_length: 28000
curren epsiode is 176, reward:-18.39000849450248,unbalance:836.2234861227982,buffer_length: 28000
curren epsiode is 177, reward:-20.848503954630058,unbalance:1019.2730971502715,buffer_length: 28000
curren epsiode is 178, reward:-5.001635668688756,unbalance:49.46214921438448,buffer_length: 28000
curren epsiode is 179, reward:-3.4088409644478412,unbalance:21.882707070386697,buffer_length: 28000
curren epsiode is 180, reward:-10.398240079726593,unbalance:305.2808619103573,buffer_length: 28000
curren epsiode is 181, reward:-2.700807679793287,unbalance:14.060083543067037,buffer_length: 29000
curren epsiode is 182, reward:-3.2861891366948117,unbalance:70.50261516132318,buffer_length: 29000
curren epsiode is 183, reward:-13.497861296374076,unbalance:547.4407624023881,buffer_length: 29000
curren epsiode is 184, reward:-7.994249777131086,unbalance:214.31630184420544,buffer_length: 29000
curren epsiode is 185, reward:-10.05299214290899,unbalance:264.074366854155,buffer_length: 29000
curren epsiode is 186, reward:-11.108931204881419,unbalance:475.07716037375064,buffer_length: 29000
curren epsiode is 187, reward:-2.9895981451906053,unbalance:0.0,buffer_length: 29000
curren epsiode is 188, reward:-2.630125321036946,unbalance:2.175597796119625,buffer_length: 29000
curren epsiode is 189, reward:-16.71825972484034,unbalance:928.4609075723863,buffer_length: 29000
curren epsiode is 190, reward:-6.1932648784293205,unbalance:86.9248367933642,buffer_length: 29000
curren epsiode is 191, reward:-3.283867023945166,unbalance:0.0,buffer_length: 30000
curren epsiode is 192, reward:-2.5139500797397885,unbalance:18.375794160039444,buffer_length: 30000
curren epsiode is 193, reward:-13.196300965146227,unbalance:613.8000134020582,buffer_length: 30000
curren epsiode is 194, reward:-8.308469754813194,unbalance:247.5940590845652,buffer_length: 30000
curren epsiode is 195, reward:-5.62817609133244,unbalance:93.37076983602178,buffer_length: 30000
curren epsiode is 196, reward:-2.864278538356931,unbalance:0.0,buffer_length: 30000
curren epsiode is 197, reward:-4.29212803651095,unbalance:29.81767212321386,buffer_length: 30000
curren epsiode is 198, reward:-2.640123448238336,unbalance:2.8742361699056573,buffer_length: 30000
curren epsiode is 199, reward:-10.877533964869407,unbalance:428.67221420215753,buffer_length: 30000
curren epsiode is 200, reward:-21.38920078114737,unbalance:1207.8142099510785,buffer_length: 30000
curren epsiode is 201, reward:-5.394071906625425,unbalance:91.5932640948804,buffer_length: 31000
curren epsiode is 202, reward:-17.449048702852373,unbalance:871.9294109979237,buffer_length: 31000
curren epsiode is 203, reward:-3.7231653564879865,unbalance:49.33335958132906,buffer_length: 31000
curren epsiode is 204, reward:-4.371164065117953,unbalance:92.36037250392323,buffer_length: 31000
curren epsiode is 205, reward:-3.404274290486757,unbalance:56.62879180171461,buffer_length: 31000
curren epsiode is 206, reward:-2.8937820700923527,unbalance:1.2796344282180527,buffer_length: 31000
curren epsiode is 207, reward:-3.683672459216452,unbalance:42.529888117565065,buffer_length: 31000
curren epsiode is 208, reward:-14.899233612870713,unbalance:929.3550034140064,buffer_length: 31000
curren epsiode is 209, reward:-8.71589919433387,unbalance:374.49962001219103,buffer_length: 31000
curren epsiode is 210, reward:-3.8302918718285115,unbalance:98.73839301880118,buffer_length: 31000
curren epsiode is 211, reward:-6.937544276036844,unbalance:182.14525370606796,buffer_length: 32000
curren epsiode is 212, reward:-7.887676680644973,unbalance:177.47932404049348,buffer_length: 32000
curren epsiode is 213, reward:-7.825821707845727,unbalance:316.80716047367343,buffer_length: 32000
curren epsiode is 214, reward:-18.357224080561817,unbalance:863.7571553949037,buffer_length: 32000
curren epsiode is 215, reward:-17.466328224882048,unbalance:940.3763745884526,buffer_length: 32000
curren epsiode is 216, reward:-4.2622836941350375,unbalance:3.392087276129587,buffer_length: 32000
curren epsiode is 217, reward:-10.621692158832957,unbalance:404.82351125331775,buffer_length: 32000
curren epsiode is 218, reward:-2.4390263664179197,unbalance:5.575952021057532,buffer_length: 32000
curren epsiode is 219, reward:-5.72670924840208,unbalance:171.0761864935934,buffer_length: 32000
curren epsiode is 220, reward:-16.10683870862878,unbalance:849.6035345886961,buffer_length: 32000
curren epsiode is 221, reward:-8.1547563042628,unbalance:274.3642118014173,buffer_length: 33000
curren epsiode is 222, reward:-5.808387805144468,unbalance:49.241062651968946,buffer_length: 33000
curren epsiode is 223, reward:-17.66185167381581,unbalance:914.9881719086372,buffer_length: 33000
curren epsiode is 224, reward:-4.861690593312144,unbalance:68.85856095497573,buffer_length: 33000
curren epsiode is 225, reward:-4.872360964819197,unbalance:41.52089772626141,buffer_length: 33000
curren epsiode is 226, reward:-4.911484287651648,unbalance:69.4129396045532,buffer_length: 33000
curren epsiode is 227, reward:-3.8987952597715188,unbalance:42.86528184949782,buffer_length: 33000
curren epsiode is 228, reward:-18.799235838067354,unbalance:1106.5036124140024,buffer_length: 33000
curren epsiode is 229, reward:-4.245468618681381,unbalance:25.486967253306744,buffer_length: 33000
curren epsiode is 230, reward:-17.881705069035036,unbalance:1197.0685337146003,buffer_length: 33000
curren epsiode is 231, reward:-7.302182147935147,unbalance:260.9835504976802,buffer_length: 34000
curren epsiode is 232, reward:-5.184280612929083,unbalance:97.73027406411518,buffer_length: 34000
curren epsiode is 233, reward:-14.463981391733844,unbalance:898.3142100836634,buffer_length: 34000
curren epsiode is 234, reward:-3.445932871355931,unbalance:8.919083852390372,buffer_length: 34000
curren epsiode is 235, reward:-6.284515822365136,unbalance:60.165895174838056,buffer_length: 34000
curren epsiode is 236, reward:-17.82589533510074,unbalance:1042.4812949178688,buffer_length: 34000
curren epsiode is 237, reward:-5.051332595695902,unbalance:57.03975820654233,buffer_length: 34000
curren epsiode is 238, reward:-16.9726387529033,unbalance:901.067949534789,buffer_length: 34000
curren epsiode is 239, reward:-4.289812589568869,unbalance:32.62255225409865,buffer_length: 34000
curren epsiode is 240, reward:-6.80595159395972,unbalance:73.76254828010167,buffer_length: 34000
curren epsiode is 241, reward:-6.622047772534717,unbalance:291.260649501675,buffer_length: 35000
curren epsiode is 242, reward:-4.501922182701163,unbalance:108.17460664408492,buffer_length: 35000
curren epsiode is 243, reward:-17.598913246404447,unbalance:1045.4969165387697,buffer_length: 35000
curren epsiode is 244, reward:-5.484338943670203,unbalance:108.85696678902545,buffer_length: 35000
curren epsiode is 245, reward:-8.905275608483198,unbalance:384.97074392473917,buffer_length: 35000
curren epsiode is 246, reward:-3.381421446099533,unbalance:0.0,buffer_length: 35000
curren epsiode is 247, reward:-16.838998820938695,unbalance:1035.83226515783,buffer_length: 35000
curren epsiode is 248, reward:-6.656835722514895,unbalance:294.95335617171173,buffer_length: 35000
curren epsiode is 249, reward:-7.083732638123739,unbalance:410.14565390298185,buffer_length: 35000
curren epsiode is 250, reward:-7.4883776013782,unbalance:216.15076390352837,buffer_length: 35000
curren epsiode is 251, reward:-7.062832493209687,unbalance:127.75137233210444,buffer_length: 36000
curren epsiode is 252, reward:-4.9187954095212945,unbalance:91.74289030862025,buffer_length: 36000
curren epsiode is 253, reward:-0.7994565239265294,unbalance:0.0,buffer_length: 36000
curren epsiode is 254, reward:-4.585760677061453,unbalance:69.04713031622686,buffer_length: 36000
curren epsiode is 255, reward:-2.9535496653568165,unbalance:0.8642929621246367,buffer_length: 36000
curren epsiode is 256, reward:-9.48424557115637,unbalance:485.36200271991305,buffer_length: 36000
