buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 118, reward:-15.180169816884277,unbalance:872.0454748074596,buffer_length: 22000
curren epsiode is 119, reward:-3.6731275724255057,unbalance:14.709091598047166,buffer_length: 22000
curren epsiode is 120, reward:-6.311825237107695,unbalance:127.6551009991266,buffer_length: 22000
curren epsiode is 121, reward:-3.95052992443561,unbalance:10.548583829654604,buffer_length: 23000
curren epsiode is 122, reward:-16.71106741585831,unbalance:501.56837426437903,buffer_length: 23000
curren epsiode is 123, reward:-6.483296491630547,unbalance:56.88572411132887,buffer_length: 23000
curren epsiode is 124, reward:-9.819562624752068,unbalance:207.92194903328243,buffer_length: 23000
curren epsiode is 125, reward:-19.219549191614664,unbalance:1120.1606018480857,buffer_length: 23000
curren epsiode is 126, reward:-4.102136893127353,unbalance:0.0,buffer_length: 23000
curren epsiode is 127, reward:-3.346473909035064,unbalance:0.0,buffer_length: 23000
curren epsiode is 128, reward:-3.629358863407578,unbalance:66.69579880822366,buffer_length: 23000
curren epsiode is 129, reward:-14.734250537788084,unbalance:602.4281474009174,buffer_length: 23000
curren epsiode is 130, reward:-12.213042325174236,unbalance:232.8981338170451,buffer_length: 23000
curren epsiode is 131, reward:-5.784370984951099,unbalance:19.896224976146186,buffer_length: 24000
curren epsiode is 132, reward:-5.761079947690515,unbalance:5.9811682345854535,buffer_length: 24000
curren epsiode is 133, reward:-8.11945545573498,unbalance:155.0270664774337,buffer_length: 24000
curren epsiode is 134, reward:-5.302774462373159,unbalance:23.613862531948485,buffer_length: 24000
curren epsiode is 135, reward:-13.12819059713335,unbalance:734.2928787885195,buffer_length: 24000
curren epsiode is 136, reward:-3.472749911826188,unbalance:129.72906946722165,buffer_length: 24000
curren epsiode is 137, reward:-3.0425390145522324,unbalance:8.516673377335735,buffer_length: 24000
curren epsiode is 138, reward:-5.0464280138701625,unbalance:0.0,buffer_length: 24000
curren epsiode is 139, reward:-20.100659452369147,unbalance:1131.1761880558101,buffer_length: 24000
curren epsiode is 140, reward:-4.196423575689647,unbalance:4.928789076650133,buffer_length: 24000
curren epsiode is 141, reward:-4.124410833777255,unbalance:8.61663126012624,buffer_length: 25000
curren epsiode is 142, reward:-3.549450047429001,unbalance:6.921156887741176,buffer_length: 25000
curren epsiode is 143, reward:-21.947015877445633,unbalance:1206.1816779012402,buffer_length: 25000
curren epsiode is 144, reward:-3.876198465633801,unbalance:27.397237263316526,buffer_length: 25000
curren epsiode is 145, reward:-5.638430207057127,unbalance:42.15876547117645,buffer_length: 25000
curren epsiode is 146, reward:-2.314313600852971,unbalance:26.96284014541518,buffer_length: 25000
curren epsiode is 147, reward:-5.369798583716566,unbalance:47.41169453603867,buffer_length: 25000
curren epsiode is 148, reward:-2.933417450911361,unbalance:0.0,buffer_length: 25000
curren epsiode is 149, reward:-4.561494499015238,unbalance:11.13259942217691,buffer_length: 25000
curren epsiode is 150, reward:-7.249453987379108,unbalance:25.292867689334116,buffer_length: 25000
curren epsiode is 151, reward:-4.900532630197031,unbalance:34.64923299334863,buffer_length: 26000
curren epsiode is 152, reward:-7.916037515398447,unbalance:112.14625872572519,buffer_length: 26000
curren epsiode is 153, reward:-2.552793779680687,unbalance:45.07359549878855,buffer_length: 26000
curren epsiode is 154, reward:-3.5382318391957983,unbalance:40.32021045601107,buffer_length: 26000
curren epsiode is 155, reward:-4.66696209936945,unbalance:63.3835175536895,buffer_length: 26000
curren epsiode is 156, reward:-14.907991398200469,unbalance:829.748765491431,buffer_length: 26000
curren epsiode is 157, reward:-9.303301085895905,unbalance:7.137718705855093,buffer_length: 26000
curren epsiode is 158, reward:-4.228221087696499,unbalance:74.01117667424654,buffer_length: 26000
curren epsiode is 159, reward:-4.511396983270931,unbalance:0.0,buffer_length: 26000
curren epsiode is 160, reward:-6.441549212606697,unbalance:5.808148099663697,buffer_length: 26000
curren epsiode is 161, reward:-20.07188970860275,unbalance:970.8969888729159,buffer_length: 27000
curren epsiode is 162, reward:-15.055835476083027,unbalance:588.3038180219731,buffer_length: 27000
