buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
D:\UCB\Capstone\RL-for-Cost-Savings-DRL\Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning\MIP_DQN.py:185: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  states = torch.as_tensor((state,), dtype=torch.float32, device=self.device)
curren epsiode is 91, reward:-7.39922733327814,unbalance:275.17454209171797,buffer_length: 20000
curren epsiode is 92, reward:-3.06138718019259,unbalance:91.06953071189392,buffer_length: 20000
curren epsiode is 93, reward:-8.0508430370023,unbalance:349.36143279692885,buffer_length: 20000
curren epsiode is 94, reward:-8.18611151180777,unbalance:387.541864357467,buffer_length: 20000
curren epsiode is 95, reward:-8.540852959559793,unbalance:137.28164575929526,buffer_length: 20000
curren epsiode is 96, reward:-4.863249531950152,unbalance:41.76078250992364,buffer_length: 20000
curren epsiode is 97, reward:-4.021552573197514,unbalance:56.062876237672555,buffer_length: 20000
curren epsiode is 98, reward:-6.452915523138875,unbalance:132.28136863798528,buffer_length: 20000
curren epsiode is 99, reward:-2.6722896020853053,unbalance:37.712636585346125,buffer_length: 20000
curren epsiode is 100, reward:-4.072997737180097,unbalance:29.90572679565716,buffer_length: 20000
curren epsiode is 101, reward:-12.680798781808184,unbalance:291.9972683811236,buffer_length: 21000
curren epsiode is 102, reward:-12.797594451950458,unbalance:585.244095206055,buffer_length: 21000
curren epsiode is 103, reward:-8.574780218327293,unbalance:117.21924244580686,buffer_length: 21000
curren epsiode is 104, reward:-7.605877380147425,unbalance:122.46012599623081,buffer_length: 21000
curren epsiode is 105, reward:-9.072287840579886,unbalance:508.8573330625786,buffer_length: 21000
curren epsiode is 106, reward:-21.247980103436085,unbalance:1350.7366082076733,buffer_length: 21000
curren epsiode is 107, reward:-17.88724193922915,unbalance:1119.9841750688738,buffer_length: 21000
curren epsiode is 108, reward:-11.563918426752863,unbalance:346.9655461873756,buffer_length: 21000
curren epsiode is 109, reward:-17.509279909957986,unbalance:1149.343129474114,buffer_length: 21000
curren epsiode is 110, reward:-7.65893069562187,unbalance:129.6134930604623,buffer_length: 21000
curren epsiode is 111, reward:-21.113232695884154,unbalance:921.8418348341011,buffer_length: 22000
curren epsiode is 112, reward:-4.68486120747847,unbalance:60.52588552115505,buffer_length: 22000
curren epsiode is 113, reward:-7.841212598321271,unbalance:282.23447720463383,buffer_length: 22000
curren epsiode is 114, reward:-22.817026014389327,unbalance:1462.3908071994697,buffer_length: 22000
curren epsiode is 115, reward:-7.762256049369644,unbalance:230.16215143533356,buffer_length: 22000
curren epsiode is 116, reward:-9.962746299977864,unbalance:251.56310324439332,buffer_length: 22000
curren epsiode is 117, reward:-4.7010084580651315,unbalance:48.06806320776288,buffer_length: 22000
curren epsiode is 118, reward:-8.0832327659913,unbalance:181.92808017039638,buffer_length: 22000
curren epsiode is 119, reward:-13.973243477305454,unbalance:328.90596174756695,buffer_length: 22000
curren epsiode is 120, reward:-3.526363517495059,unbalance:24.11814837166537,buffer_length: 22000
curren epsiode is 121, reward:-2.6902957080388274,unbalance:0.0,buffer_length: 23000
curren epsiode is 122, reward:-16.47493368940375,unbalance:1099.5940356924384,buffer_length: 23000
curren epsiode is 123, reward:-4.813752389474253,unbalance:34.240563042348384,buffer_length: 23000
curren epsiode is 124, reward:-4.8628501861681706,unbalance:54.216148010180916,buffer_length: 23000
curren epsiode is 125, reward:-10.578089048968826,unbalance:602.1858628419498,buffer_length: 23000
curren epsiode is 126, reward:-5.7539535505855275,unbalance:132.36613436787047,buffer_length: 23000
curren epsiode is 127, reward:-1.7203459474162706,unbalance:72.16208362219311,buffer_length: 23000
curren epsiode is 128, reward:-5.240308005106943,unbalance:64.77499853366541,buffer_length: 23000
curren epsiode is 129, reward:-10.353864694275627,unbalance:74.77095259857947,buffer_length: 23000
curren epsiode is 130, reward:-21.414961495543782,unbalance:953.5552603414317,buffer_length: 23000
curren epsiode is 131, reward:-3.5728738209673576,unbalance:69.7911295358424,buffer_length: 24000
curren epsiode is 132, reward:-2.7827073135955334,unbalance:13.867291698548172,buffer_length: 24000
curren epsiode is 133, reward:-6.3137815193505,unbalance:199.02755292713232,buffer_length: 24000
curren epsiode is 134, reward:-4.30987666332286,unbalance:168.86763378675337,buffer_length: 24000
curren epsiode is 135, reward:-7.154514073395437,unbalance:203.0413214959367,buffer_length: 24000
curren epsiode is 136, reward:-5.821736832171307,unbalance:36.456805809421596,buffer_length: 24000
curren epsiode is 137, reward:-8.928329602172829,unbalance:425.7622401824201,buffer_length: 24000
curren epsiode is 138, reward:-5.342257854261058,unbalance:143.37787520169718,buffer_length: 24000
curren epsiode is 139, reward:-12.894709663759217,unbalance:887.1211732171827,buffer_length: 24000
curren epsiode is 140, reward:-4.333802300716228,unbalance:96.54837427392643,buffer_length: 24000
curren epsiode is 141, reward:-4.977473106272706,unbalance:52.98262812072218,buffer_length: 25000
curren epsiode is 142, reward:-3.827145015776293,unbalance:43.44769386075842,buffer_length: 25000
curren epsiode is 143, reward:-7.602644422733649,unbalance:244.75214148418138,buffer_length: 25000
curren epsiode is 144, reward:-1.6410813552292507,unbalance:0.0,buffer_length: 25000
curren epsiode is 145, reward:-3.392564077456054,unbalance:74.70235535937297,buffer_length: 25000
curren epsiode is 146, reward:-5.734360105663158,unbalance:93.52441089724906,buffer_length: 25000
curren epsiode is 147, reward:-10.4980429484807,unbalance:306.57414789838447,buffer_length: 25000
