buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 182, reward:-7.898119776444987,unbalance:253.30667099716848,buffer_length: 29000
curren epsiode is 183, reward:-12.865254565102006,unbalance:764.600539796713,buffer_length: 29000
curren epsiode is 184, reward:-4.678655949623032,unbalance:57.85422763401385,buffer_length: 29000
curren epsiode is 185, reward:-16.735507400209453,unbalance:1037.0360459850638,buffer_length: 29000
curren epsiode is 186, reward:-9.422284455390457,unbalance:258.95898532120054,buffer_length: 29000
curren epsiode is 187, reward:-7.847872694440809,unbalance:223.08279869544273,buffer_length: 29000
curren epsiode is 188, reward:-13.142751509016342,unbalance:646.8402367747125,buffer_length: 29000
curren epsiode is 189, reward:-7.373506982243024,unbalance:230.58577230109887,buffer_length: 29000
curren epsiode is 190, reward:-2.220457397258598,unbalance:18.63169379202205,buffer_length: 29000
curren epsiode is 191, reward:-4.068676755042705,unbalance:83.5714797378131,buffer_length: 30000
curren epsiode is 192, reward:-13.62142900103326,unbalance:671.1758782113418,buffer_length: 30000
curren epsiode is 193, reward:-15.032679088296785,unbalance:620.3874642074653,buffer_length: 30000
curren epsiode is 194, reward:-3.697745389729708,unbalance:35.803376095562726,buffer_length: 30000
curren epsiode is 195, reward:-8.826021487078341,unbalance:304.36675242660607,buffer_length: 30000
curren epsiode is 196, reward:-1.9840990636381117,unbalance:0.0,buffer_length: 30000
curren epsiode is 197, reward:-22.77317014595238,unbalance:1321.6448997860862,buffer_length: 30000
curren epsiode is 198, reward:-23.559527205753632,unbalance:1265.2909925842582,buffer_length: 30000
curren epsiode is 199, reward:-6.2981600240901985,unbalance:2.5735834753323275,buffer_length: 30000
curren epsiode is 200, reward:-6.9032651697749,unbalance:175.5829553252725,buffer_length: 30000
curren epsiode is 201, reward:-2.7206040079170752,unbalance:7.084623327939468,buffer_length: 31000
curren epsiode is 202, reward:-20.18767648783286,unbalance:1267.3450881313902,buffer_length: 31000
curren epsiode is 203, reward:-16.560156466394755,unbalance:1060.751401662255,buffer_length: 31000
curren epsiode is 204, reward:-21.906617756688608,unbalance:1423.4033512406893,buffer_length: 31000
curren epsiode is 205, reward:-4.985814207303704,unbalance:135.67965539426558,buffer_length: 31000
curren epsiode is 206, reward:-7.709492460751535,unbalance:95.51264449107467,buffer_length: 31000
curren epsiode is 207, reward:-12.162153934479143,unbalance:578.4042754732551,buffer_length: 31000
curren epsiode is 208, reward:-7.537818176085519,unbalance:252.05783269779974,buffer_length: 31000
curren epsiode is 209, reward:-20.935257849885698,unbalance:1532.6005378676618,buffer_length: 31000
curren epsiode is 210, reward:-6.107718956742649,unbalance:147.52059825376145,buffer_length: 31000
curren epsiode is 211, reward:-17.494696940496674,unbalance:1326.9656143477016,buffer_length: 32000
curren epsiode is 212, reward:-9.389200780244376,unbalance:160.43889223156336,buffer_length: 32000
curren epsiode is 213, reward:-23.623546818646787,unbalance:1682.4649086070633,buffer_length: 32000
curren epsiode is 214, reward:-3.2680377012194954,unbalance:24.650377962065377,buffer_length: 32000
curren epsiode is 215, reward:-24.58370164802602,unbalance:1596.060938037275,buffer_length: 32000
curren epsiode is 216, reward:-12.400217044475724,unbalance:732.3984020192747,buffer_length: 32000
curren epsiode is 217, reward:-19.436981629002506,unbalance:1241.5014648678803,buffer_length: 32000
curren epsiode is 218, reward:-3.988247998273458,unbalance:0.0,buffer_length: 32000
curren epsiode is 219, reward:-6.20030029984635,unbalance:139.50350542909507,buffer_length: 32000
curren epsiode is 220, reward:-3.5995136976152065,unbalance:77.09692188287643,buffer_length: 32000
curren epsiode is 221, reward:-23.415872593027263,unbalance:1447.8297481725085,buffer_length: 33000
curren epsiode is 222, reward:-18.857118948047784,unbalance:1095.9700256652052,buffer_length: 33000
curren epsiode is 223, reward:-22.8550884828671,unbalance:1772.936752420204,buffer_length: 33000
curren epsiode is 224, reward:-17.210269598505086,unbalance:1107.4933536307292,buffer_length: 33000
curren epsiode is 225, reward:-2.4316261614524253,unbalance:69.1949767316359,buffer_length: 33000
curren epsiode is 226, reward:-19.92402783045776,unbalance:896.8332283447915,buffer_length: 33000
curren epsiode is 227, reward:-8.288446124200407,unbalance:181.42638291053106,buffer_length: 33000
curren epsiode is 228, reward:-6.207915306083543,unbalance:152.93058818157863,buffer_length: 33000
curren epsiode is 229, reward:-8.29161349738247,unbalance:314.3131554138488,buffer_length: 33000
curren epsiode is 230, reward:-10.44865224988226,unbalance:324.07685996391604,buffer_length: 33000
curren epsiode is 231, reward:-8.83759556605329,unbalance:204.69935314457115,buffer_length: 34000
curren epsiode is 232, reward:-6.385715898299981,unbalance:172.25162363028988,buffer_length: 34000
curren epsiode is 233, reward:-10.586873920272662,unbalance:393.3105743014436,buffer_length: 34000
curren epsiode is 234, reward:-16.32601965424991,unbalance:1111.4424642040187,buffer_length: 34000
curren epsiode is 235, reward:-4.61730965936447,unbalance:33.09539492180096,buffer_length: 34000
curren epsiode is 236, reward:-23.296946610694246,unbalance:1359.94996869761,buffer_length: 34000
curren epsiode is 237, reward:-14.410964200153368,unbalance:838.6116914890639,buffer_length: 34000
curren epsiode is 238, reward:-6.083799508160932,unbalance:105.82653696009073,buffer_length: 34000
curren epsiode is 239, reward:-22.974542608240963,unbalance:1683.6936063132641,buffer_length: 34000
curren epsiode is 240, reward:-4.284985253602592,unbalance:75.91178488589826,buffer_length: 34000
curren epsiode is 241, reward:-8.085098860625715,unbalance:144.96376369871433,buffer_length: 35000
curren epsiode is 242, reward:-9.194813974630398,unbalance:260.4976107033872,buffer_length: 35000
curren epsiode is 243, reward:-8.434167223964613,unbalance:262.0010108579828,buffer_length: 35000
curren epsiode is 244, reward:-26.96801495702575,unbalance:2134.5961963963105,buffer_length: 35000
curren epsiode is 245, reward:-3.567401973751333,unbalance:103.55982901222941,buffer_length: 35000
curren epsiode is 246, reward:-20.331750988323755,unbalance:1305.544480695115,buffer_length: 35000
curren epsiode is 247, reward:-9.696513344961863,unbalance:387.3146155574315,buffer_length: 35000
curren epsiode is 248, reward:-6.0107305411644685,unbalance:105.8833226168972,buffer_length: 35000
curren epsiode is 249, reward:-19.85726341260628,unbalance:1385.2524164837882,buffer_length: 35000
curren epsiode is 250, reward:-8.153317067624082,unbalance:309.07670436280387,buffer_length: 35000
curren epsiode is 251, reward:-2.045829780505854,unbalance:30.797862731097872,buffer_length: 36000
curren epsiode is 252, reward:-3.2819357107418856,unbalance:56.72776719609702,buffer_length: 36000
curren epsiode is 253, reward:-4.595654316010112,unbalance:122.51150347564973,buffer_length: 36000
curren epsiode is 254, reward:-9.160684947517947,unbalance:142.02001647409006,buffer_length: 36000
curren epsiode is 255, reward:-7.176175894258579,unbalance:163.18861305653928,buffer_length: 36000
curren epsiode is 256, reward:-16.25696407885903,unbalance:1185.840282671041,buffer_length: 36000
curren epsiode is 257, reward:-3.6839862166163955,unbalance:48.16168694169934,buffer_length: 36000
curren epsiode is 258, reward:-14.20792625968428,unbalance:847.2549851092724,buffer_length: 36000
curren epsiode is 259, reward:-20.725786996814303,unbalance:1403.8871266609965,buffer_length: 36000
curren epsiode is 260, reward:-14.336822389551047,unbalance:679.156801441854,buffer_length: 36000
curren epsiode is 261, reward:-10.719431744621222,unbalance:263.60813298905447,buffer_length: 37000
curren epsiode is 262, reward:-10.4753448217878,unbalance:595.1461278987397,buffer_length: 37000
curren epsiode is 263, reward:-4.495934250893157,unbalance:36.00622907507781,buffer_length: 37000
curren epsiode is 264, reward:-7.770015560195197,unbalance:234.36870001644095,buffer_length: 37000
curren epsiode is 265, reward:-4.509887242412668,unbalance:38.35069008536078,buffer_length: 37000
curren epsiode is 266, reward:-23.237897145232868,unbalance:1503.0842421921402,buffer_length: 37000
curren epsiode is 267, reward:-4.916104650360952,unbalance:30.68450759666765,buffer_length: 37000
curren epsiode is 268, reward:-6.475965567063059,unbalance:36.20158586362293,buffer_length: 37000
curren epsiode is 269, reward:-8.399815218222226,unbalance:337.7988340394299,buffer_length: 37000
curren epsiode is 270, reward:-6.215415142003983,unbalance:124.86891015873884,buffer_length: 37000
curren epsiode is 271, reward:-5.925234010812684,unbalance:143.91643151571705,buffer_length: 38000
curren epsiode is 272, reward:-9.886473509561537,unbalance:286.42854477345395,buffer_length: 38000
curren epsiode is 273, reward:-20.581346688433698,unbalance:1440.930073641847,buffer_length: 38000
curren epsiode is 274, reward:-10.362571309817032,unbalance:413.3140751104023,buffer_length: 38000
curren epsiode is 275, reward:-10.594480276184516,unbalance:354.3105283327566,buffer_length: 38000
curren epsiode is 276, reward:-8.649960724042632,unbalance:353.6808207027919,buffer_length: 38000
curren epsiode is 277, reward:-5.824903389314341,unbalance:101.22523403950053,buffer_length: 38000
curren epsiode is 278, reward:-5.177102877071748,unbalance:96.84526937650219,buffer_length: 38000
curren epsiode is 279, reward:-3.245768271381345,unbalance:15.817817026507036,buffer_length: 38000
curren epsiode is 280, reward:-3.406052581886551,unbalance:0.0,buffer_length: 38000
curren epsiode is 281, reward:-13.787444568143174,unbalance:656.5919116178388,buffer_length: 39000
curren epsiode is 282, reward:-6.09161042552955,unbalance:130.88641766088034,buffer_length: 39000
curren epsiode is 283, reward:-7.938213617594309,unbalance:312.53330872829616,buffer_length: 39000
curren epsiode is 284, reward:-5.914282151123992,unbalance:56.70216982017377,buffer_length: 39000
curren epsiode is 285, reward:-7.301486360065476,unbalance:202.90384088503788,buffer_length: 39000
curren epsiode is 286, reward:-18.725499355498204,unbalance:988.2123569639172,buffer_length: 39000
curren epsiode is 287, reward:-2.981871652473503,unbalance:3.0375701546711014,buffer_length: 39000
curren epsiode is 288, reward:-5.931611427722499,unbalance:59.16860628946787,buffer_length: 39000
curren epsiode is 289, reward:-7.045660340543594,unbalance:143.29095862840853,buffer_length: 39000
curren epsiode is 290, reward:-11.370002566061551,unbalance:321.5975922347198,buffer_length: 39000
